"Gene.Symbols","UniProt.IDs","High temp. Remodeling Score","Amino acids Remodeling Score","Anaerobic Remodeling Score","Galactose Remodeling Score","Glucose Remodeling Score","Max growth rate Remodeling Score","Near-zero growth Remodeling Score","Stationary phase Remodeling Score","Xylose Remodeling Score"
"argA;argB;argI;argP;argF;argG;argE;argT;hisJ;argS;argD;argT;arcB;argH;argR","P0A6C5;P0A6C8;P04391;P0A8S1;P06960;P0A6E4;P23908;P09551;P0AEU0;P11875;P18335;P09551;P0AEC3;P11447;P0A6D0",0.108641140802948,-0.165699877099115,0.156541918268428,0.231882718303112,0.187875566834651,-0.0459759753672983,-0.0211269920729634,0.0560806936751168,-0.00549587728686911
"fnr;folC;folE;folM;folP;flu;folD;folK;fmt;folA","P0A9E5;P08192;P0A6T5;P0AFS3;P0AC13;P39180;P24186;P26281;P23882;P0ABQ4",0.541769378981049,0.0623979734947943,0.188300658327885,0.263123505019206,0.365962844832789,0.266311767287226,-0.0129630211685005,0.0402240218555929,0.345305527362663
"hisS;hisC;hisH;hisG;hisA;hisI;hisB;hinT;hisF;hisD","P60906;P06986;P60595;P60757;P10371;P06989;P06987;P0ACE7;P60664;P06988",-0.0325653597881844,-0.16981120142946,0.019772935482295,-0.158944574274485,-0.0720335754366662,-0.298097267729955,-0.418790406905512,-0.215703836782653,-0.0915751748000822
"yjiM;yjjG;yjhU","P39384;P0A8Y1;P39356",0.279263841076787,0.332542800190428,0.697589716665597,0.228558709821361,0.42941051372428,0.208573069303872,0.0953465419538256,0.267067160109783,0.0730667067627746
"cspI;cueO;cusF;cspG;curA;cusB;cusC;csrD","P0A986;P36649;P77214;P0A978;P76113;P77239;P77211;P13518",0.491063536877867,-0.259382732311514,-0.45666140296067,-0.21657630891675,-0.141309418734835,-0.592273370851937,-0.60874509364679,-0.589723809477784,-0.293626171467925
"yrdA;yraP;yrdD","P0A9W9;P64596;P45771",0.133211448669097,-0.0722605018846883,-0.134297868861667,-0.668412463365541,-0.402179106411721,-0.181557761688219,-0.573070730676576,-0.633921155770842,-0.45429250189087
"znuA;zntR;zipA;ytfJ;ytfB;zapB;zapD;ytfE;zapE;zapA;ytfQ","P39172;P0ACS5;P77173;P39187;P39310;P0AF36;P36680;P69506;P64612;P0ADS2;P39325",0.093302178731374,-0.0284789983582941,-0.0205046159560323,0.400546111562633,-0.173684777566478,-0.0525981201541163,0.0599400208447267,0.179988334482032,-0.114722746417184
"amiA;ampD;anmK;amiB;alsB;araF;apt;aphA;ampC;appA;ansB;alr","P36548;P13016;P77570;P26365;P39265;P02924;P69503;P0AE22;P00811;P07102;P00805;P0A6B4",-0.567953980284695,-0.350558144693526,-0.714670044990316,-0.731074076532492,-0.401968718499336,-0.531883446580196,-0.623755602582404,-0.451246028603614,-0.377573828173514
"gloA;glpB;gloB;glnS;glnQ;glpD;glpA","P0AC81;P13033;P0AC84;P00962;P10346;P13035;P0A9C0",0.755192349644958,0.538666490401788,0.693049438577551,0.782570865513138,0.832394415984799,0.713164046289908,0.565571773805077,0.444830358303981,0.543081097766993
"gpt;grcA;gpmA;gpmB;gpmI;gpsA;greA;greB;gppA;gpr;groL;groS","P0A9M5;P68066;P62707;P0A7A2;P37689;P0A6S7;P0A6W5;P30128;P25552;Q46851;P0A6F5;P0A6F9",0.00635067956639074,-0.142662931979244,-0.354400094815505,-0.184907787842151,-0.019456157934357,-0.264967736465435,-0.359408797255398,-0.276194990653073,-0.232027996969025
